"KEY","English","Norwegian","Portuguese","Spanish","French","Chinese","German"
"Language.LocalisedName","English","Norsk","Português","Español","Français","简体中文","Deutsch"
"Advertising.UnityAds.WatchForCoins.Button","Free Coins","Gratis Penger","Moedas Grátis","monedas gratis","Pièces gratuites","免费金币","Gratis Münzen"
"Advertising.UnityAds.WatchForCoins.Finished","You now have {0} extra coins.","Du nå har {0} ekstra mynter.","Você tem {0} moedas extras.","Tienes {0} monedas extra.","Vous avez gagné {0} pièces supplémentaires.","你现在拥有{0}额外金币.","Du hast {0} Extra-Münzen."
"Advertising.UnityAds.WatchForCoins.Skipped","Please watch the whole video to get coins.","Vennligst se hele videoen for å få penger.","Por favor assista todo o video para ganhar moedas","Por favor, ver el vídeo entero para ganar monedas","Regardez la vidéo pour gagner des pièces.","你需要观看完整视频才能获取金币.","Bitte gucke das ganze Video für Gratismünzen."
"Advertising.UnityAds.UnableToShow","Unable to load adverts!
Please try again later.","Kunne ikke laste reklame!
Prøv igjen senere.","Impossível carregar anúncios!
Por Favor tente mais tarde.","No se puede cargar anuncios! 
","Impossible de visualiser la vidéo.
Réessayer plus tard.","无法加载广告!
请稍后再试.","Kann kein Video laden."
"Billing.NotInitialised","Billing not accessible. Please check settings and try again later.","Kjøp ikke tilgjengelig. Vennligst sjekk innstillingene og prøv igjen senere.","Compra nao acessível. Por Favor verifique as configurações e tente mais tarde.","Por favor, inténtelo de nuevo más tarde.","Le paiement est inaccessible. Vérifiez vos paramètres et réessayez.","账单无法访问. 请检查设置并稍后再试.","Bazahlung nicht möglich. Einstellungen überprüfen."
"Billing.NotAvailable","Unable to purchase.

Either the item is not found or is not currently available for purchase.

Please try again later.","Kjøp ikke gjennomførbart.

Varen er enten ikke funnet eller midlertidig utilgjengelig.

Vennligst prøv igjen senere.  ","Impossivel realizar a compra.

O item não foi encontrado ou não esta disponível para compra.

Por Favor tente mais tarde.","Imposible de hacer la compra.

El artículo no se ha encontrado o no está disponible para compra.

Por favor, inténtelo de nuevo más tarde.","L'achat n'est pas disponible. 

Cet article n'a pas été trouvé ou n'est pas disponible pour l'achat actuellement.

Veuillez essayer ultérieurement.","无法购买.

要么是商品没有找到或者当前无法购买.

请稍后再试.","Kauf nicht möglich."
"Billing.RestoreSucceeded","Purchases have been restored.","Kjøp gjenopprettet.","A compra foi restaurada","La compra fue restaurada","Vos achats ont été réinstallés.","购买已经被恢复","Einkäufe wurden wiederhergestellt."
"Billing.RestoreFailed","Unable to restore purchases.","Kunne ikke gjenopprette kjøp.","Impossível restaurar compra","No se puede restaurar la compra","Impossible de réinstaller vos achats.","无法恢复购买","Wiederherstellung der Einkäufe nicht möglich."
"Facebook.Logout","Logout","Logg ut","Sair","dejar","Déconnexion.","登出","Abmeldung"
"Facebook.Reconnect","Reconnect","Tilkobler","Reconectar","reconexión","Reconnexion.","重新连接","Neue Verbindung"
"Facebook.Connect","Facebook
Connect","Kobler til
Facebook","Facebook
Conectar","Facebook
Conectar","Connection sur Facebook.","Facebook
连接","Facebook"
"Facebook.Connecting","Connecting…","Tilkobler…","Conectando…","Conectando ...","Connexion en cours …","连接中","Verbinde..."
"Facebook.Share.Caption","Come play the new hit game","Prøv det nye spillet","Venhha jogar a nova sensação","Ven a jugar a la nueva sensación","Jouez au nouveau hit !","玩一玩新游戏吧","Spiele den neusten Spielehit!"
"Facebook.Share.Description","Try out {0}","Prøv ut {0}","Experimente {0}","Try {0}","Essai {0}","尝试{0}","Versuche mal {0}"
"Facebook.Invite.Caption","{0} is great! Check it out.","{0} er bra! Prøv det. ","{0} É incrível! confira.","{0} es increíble! comprobar.","{0} est top ! Jetez un œil :)","{0}很棒!快看一看.","{0} ist toll! Probiere es aus!"
"Facebook.Invite.Description","Join me and play {0}!","Bli med og spill {0}!","Jogue comigo {0}!","Juega conmigo {0}!","Rejoignez moi et jouez {0} !","快加入我一起玩{0}!","Folge mir und spiele {0}!"
"Facebook.Error.Login.Description","We were unable to log into Facebook and will continue in offline mode.
Try connecting again later.","Det var ikke mulig å koble til Facebook og spillet fortsetter offline.
Prøv å koble til senere. ","Impossivel conectar ao Facebook, continuar em modo offline.
Tente reconectar mais tarde.","Imposible conectarse a Facebook, continuará el modo offline.
Intentará volver a conectarse más tarde","La connexion sur Facebook est impossible, vous n'êtes pas connecté. Réessayer plus tard.","目前无法登陆Facebook,游戏将持续在离线模式中运行.
尝试稍后再次连接.","Facebook-Anmeldung nicht möglich. Weiter offline."
"FreePrize","Free Prize","Gratis Premie","Prêmio grátis","Regalo Gratis","Bonus gratuit.","免费奖励","Gratis Geschenk"
"FreePrize.NewPrize","New prize in {0:D2}:{1:D2}:{2:D2}","Ny premie om {0:D2}:{1:D2}:{2:D2}","Novo prêmio em {0:D2}:{1:D2}:{2:D2}","Nuevo premio {0: D 2}: {1: D 2}: {2: D2}","Nouveau bonus {0: D 2}: {1: D 2}: {2: D2}","在{0:D2}:{1:D2}:{2:D2}有新奖励","Neues Geschenk in {0:D2}:{1:D2}:{2:D2}"
"FreePrize.Title","FREE PRIZE","GRATIS PREMIE","PRÊMIO GRATIS","REGALO GRATIS","BONUS GRATUIT","免费奖励","GRATIS GESCHENK"
"FreePrize.Text1","You won {0} coins","Du vant {0} mynter","Você ganhou {0} moedas","Te has ganado {0} monedas","Vous avez gagné {0} pièces.","你赢得{}个金币.","Du hast {0} Münzen gewonnen"
"FreePrize.Text2","New prize available soon.","Ny premie tilgjengelig snart.","Novo prêmio disponível em breve.","Nuevo premio disponible pronto.","Nouvelle récompense bientôt disponible.","新奖励即将到来","Neues Geschenk bald verfügbar."
"GameFeedback.FeedbackTitle","Feedback","Tilbakemelding","Comentários","comentarios","Commentaires","反馈","Feedback"
"GameFeedback.RateTitle","Rate us!","Evaluer oss!","Avalie!","Vota","Notez nous !","为我们评分!","Bewerte uns!"
"GameFeedback.RateThanks","Thank you for any positive feedback and for rating our app!","Takk for kommentaren og for at du evaluerte vår app!","Obrigado por avaliar e comentar o app!","Gracias por calificar y comentar la aplicación!","Merci pour votre évaluation et retour positif.","非常感谢您的积极反馈以及评论我们的应用!","Danke für jedes positive Feedback und deine Bewertung."
"GameFeedback.Unsure","Are you enjoying '{0}'?","Liker du {0}?","Está gostando '{0}'?","Usted está disfrutando '{0}'?","Vous appréciez '{0}'?","你喜欢'{0}'吗?","Magst du '{0}'?"
"GameFeedback.Unsure.No","We're sorry that you don't like our game. Please leave your comments and suggestions on our support site at www.flipwebapps.com so we can improve.","Vi beklager at du ikke liker spillet. Vennligst legg igjen dine kommentarer og forslag til endringer på wwwlflipweapps.com","Sentimos muito por você não gostar do jogo. Por favor deixe seus comentarios e sugestões em nosso site para melhorarmos. www.flipwebapps.com","Lo sentimos que no te gusta el juego. Por favor, deje sus comentarios y sugerencias en nuestro sitio web para mejorar. 
www.flipwebapps.com","Nous sommes désolez d'apprendre que vous n'aimez pas notre jeu. Laissez nous un commentaire et des suggestions sur notre site à www.flipwebapps.com pour nous améliorer.","您不喜欢我们的游戏,对此我们感到非常抱歉.
请在我们的支持网站www.flipwebapps.com留下您的评论和建议,我们会继续改进.","Schade, dass du unser Spiel nicht magst. Bitte schreibe uns einen Kommentar was dir nicht gefällt auf www.flipwebapps.com damit wir besser werden können."
"GameFeedback.AssumeLike","Thanks you for choosing to rate '{0}'.

Your support is much appreciated.","Takk for tilbakemeldingen! 

Vi setter stor pris på din støtte.","Obrigado por avaliar '{0}'.

Sua ajuda é muito bem vinda.","¡Gracias por votar '{0}' .

Su ayuda es muy bienvenida.","Merci pour votre évaluation de '{0}'. 

Votre support est très apprécié.","感谢您选择评分'{0}'.
非常感谢您的支持.","Danke dass du '{0}' bewertet hast."
"GameFeedback.AssumeLikeOptionalAndroid","We hope that you like '{0}'.

It'd be really helpful if you rated us in the Play store.
Many thanks for your support.","Vi håper du liker  {0}.

Vi setter stor pris på din tilbakemelding i Play store.
Takk for din støtte. ","Esperamos que tenha gostado '{0}'.

É de grande ajuda se nos avaliar na Play Store.
Muito obrigado pela ajuda.","Esperamos que hayan disfrutado '{0}' .

Nos ayuda a evaluar si el Juego Store.
Gracias por la ayuda.","Nous espérons que vous avez aimé '{0}'. 

Vos retours sur le PlayStore sont très utiles.","我希望您喜欢'{0}'.
如果您在Play Store为我们评分会对我们有非常大的帮助.","Wir hoffen du magst '{0}'."
"GameFeedback.AssumeLikeOptionaliOS","We hope that you like '{0}'.

It'd be really helpful if you rated us in the App store.
Many thanks for your support.","Vi håper du liker  {0}.

Vi setter stor pris på din tilbakemelding i app store.
Takk for din støtte. ","Esperamos que tenha gostado '{0}'.

É de grande ajuda se nos avaliar na Play Store.
Muito obrigado pela ajuda.","Esperamos que hayan disfrutado '{0}' .

Nos ayuda a evaluar si el Juego Store.
Gracias por la ayuda.","Nous espérons que vous avez aimé '{0}'. 

Vos retours sur l' AppleStore sont très utiles.","我希望您喜欢'{0}'.
如果您在APP Store为我们评分会对我们有非常大的帮助.","Wir hoffen du magst '{0}'."
"GeneralMessage.Ok","OK","Ok","OK","Bueno","Accepter","确定","Ok"
"GeneralMessage.Cancel","Cancel","Kansellere","Cancelar","Cancelar","Annuler","取消","Abbrechen"
"GeneralMessage.Error.Title","Error","Feil","Erro","Error","Erreur","错误","Fehler"
"GeneralMessage.Info.Title","Info","Info","Informação","Información","Information","信息","Info"
"GeneralMessage.Error.GeneralError","An error occurred: {0}","Det oppstod en feil: {0}","Um erro aconteceu: {0}","Se ha producido un error: {0}","Une erreur est survenue: {0}","一个错误发生了:{0}","Ein Fehler ist aufgetreten: {0}"
"GameOver.Title","GAME OVER","SPILL OVER","FIM DE JOGO","FIN DEL JUEGO","GAME OVER","游戏结束","SPIEL VORBEI"
"GameOver.Won","CONGRATULATIONS","GRATULERER","PARABÉNS","FELICIDADES","FÉLICITATIONS","恭喜","GLÜCKWUNSCH"
"GameOver.GameWon","GAME COMPLETE","SPILL FERDIG","JOGO CONCLUÍDO","JUEGO TERMINADO","JEU TERMINE","游戏完成","SPIEL ABGESCHLOSSEN"
"GameOver.WorldWon","WORLD COMPLETE","VERDEN FERDIG","MUNDO CONCLUÍDO","MUNDO COMPLETADO","MONDE TERMINE","世界完成","WELT ABGESCHLOSSEN"
"GameOver.LevelWon","LEVEL COMPLETE","LEVEL FERDIG","FASE CONCLUÍDA","FASE COMPLETADA","PHASE TERMINEE","关卡完成","LEVEL GESCHAFFT"
"GameOver.Lost","YOU LOST","DU TAPTE","VOCÊ PERDEU","TÚ PERDISTE","VOUS AVEZ PERDU","你输了","DU HAST VERLOREN"
"GameOver.Achievement","x","x","x","x","x","x","x"
"GameOver.Time","Time","Tid","tempo","tiempo","Temps","时间","Zeit"
"GameOver.Coins","Coins","Penger","moedas Grátis","monedas gratis","Pièces gratuites","金币","Münzen"
"GameOver.Score","Score","Score","pontuação","puntuacion","Score","分数","Punkte"
"GameOver.ScoreResult","{0}","{0}","{0}","{0}","{0}","{0}","{0}"
"GameOver.HighScoreText","High Score","Rekord","Pontuação mais alta","La puntuación más alta","Les meilleurs scores","最高分","Highscore"
"GameOver.NewHighScore","New High Score","Ny Rekord","Nova pontuação mais alta","Nueva puntuación","Nouveau meilleur score","新最高分","neuer Highscore"
"GameOver.TargetCoins","Get {0} more coins to unlock a new level","Få {0} mynter til for å låse opp en ny level","Consiga mais {0} para desbloquear uma nova fase","Consigue {0} para desbloquear una nueva fase","Encore {0} pièces pour débloquer un nouveau niveau","观看广告获得额外{0}个金币来解锁新的关卡","Sammel noch {0} Münzen um ein neues Level freizuschalten. "
"GameOver.TargetCoinsGot","New level available","Ny level tilgjengelig","Nova fase disponível","Nueva fase disponibles","Nouveau niveau disponible","新场景可用","Neues Level verfügbar"
"GameOver.FacebookPost","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook"
"GameOver.Rate","Rate","Evaluer","Avalie!","Vota","Notez","评分","Bewerten"
"GameOver.Retry","Retry","Prøv Igjen","Recomeçar","recomenzar","Recommencer","重试","Wiederholen"
"GameOver.Continue","Continue","Fortsette","Continuar","continuar","Continuez","继续","Fortsetzen"
"Settings.Title","Settings","Instillinger","Configurações","ajustes","Réglages","设置","Einstellungen"
"Settings.Music","Music","Lyd","Música","música","Musique","音乐","Musik"
"Settings.FX","FX","FX","Efeitos Sonoros","Efectos sonoros","Bruitages","FX","FX"
"Settings.Language","Language","Språk","Idioma","idioma","Langue","语言","Sprache"
"Settings.RestorePurchases","Restore Purchases","Gjenopprette Kjøp","Restaurar compras","restaurar las compras","Réinstaller les achats","恢复购买","Einkäufe wiederherstellen"
"Pause.Title","Pause","Pause","Pausa","Pausa","Pause","暂停","Pause"
"Pause.Resume","Resume","Gjenoppta","Prosseguir","continuar","Recommencer","恢复","Fortsetzen"
"Pause.Restart","Restart","Omstart","Reiniciar","Reiniciar","Repartir","重新开始","Neustart"
"Pause.Options","Options","Instillinger","Configurações","ajustes","Réglages","设置","Einstellungen"
"Pause.ExitLevel","Exit Level","Avslutt Levelen","Nível de Saída","Nivel de Salida","Sortie","退出级别","Exit-Ebene"
"Pause.Quit","Quit","Slutte","Sair","Dejar","Quitter","放弃","Verlassen"
"P0.Name","Player 1","Spiller 1","Jogador 1","El jugador 1","1 joueur","玩家1","Spieler 1"
"Level.Buy.Title","BUY","KJØP","COMPRAR","COMPRAR","ACHETER","购买","KAUFEN"
"Level.Buy.Text1","Purchase this level?","Vil du kjøpe denne levelen? ","Comprar esta fase?","Comprar esta fase?","Acheter ce niveau ?","购买此关卡?","Willst du dieses Level kaufen?"
"Level.Buy.Text2","You can also collect coins to unlock","Du kan også samle mynter for å låse opp","Você pode coletar moedas para desbloquear","Puede recoger las monedas para desbloquear","Vous pouvez collecter des pièces pour déverrouiller","你也可以搜集更多金币来解锁","Du kannst auch Münzen sammeln um freizuschalten"
"Level.Buy.NotEnabled","Collect coins to unlock this level","Få flere mynter for å låse opp denne levelen","Colete moedas para desbloquear esta fase","Recoger las monedas para desbloquear esta etapa","Accumulez des pièces pour débloquer ce niveau","搜集金币来解锁此关卡","Sammel Münzen um dieses Level freizuschalten."
"Level.Unlock","Unlock","Lås opp","Desbloquear","desbloquear","Débloquer","解锁","Freischalten"
"Level.Unlock.Title","UNLOCK LEVEL","Lås opp level. ","Desbloquear fase","desbloquear fase","Débloquez le niveau","解锁关卡","LEVEL FREISCHALTEN"
"Level.Unlock.New.Text1","Congratulations!
New level Unlocked","Gratulerer!
Ny level låst opp. ","Parabéns!
Nova fase desbloqueada","¡Felicitaciones!
Nueva fase de desbloqueo ","Félicitations !
Un nouveau niveau est débloqué.","恭喜!
新关卡已经被解锁","Glückwunsch!"
"Level.Unlock.New.Text2","Collect more coins to unlock others.","Samle mer penger for å låse opp andre.","Colete mais moedas para desbloquear","Recoger las monedas más para desbloquear","Collectez plus de pièce pour en débloquer d'autres.","搜集更多金币来解锁其他的关卡.","Sammel mehr Münzen um die anderen freizuschalten."
"Level.Unlock.Existing.Text1","Bad Luck!
Level Already Unlocked.","Uflaks!
Level er allerede låst opp. ","Deu Azar!
Fase já esta desbloqueada.","Él Azar! 
Fase ya está desbloqueado","Pas de chance.
Ce niveau est déjà débloqué.","运气不好!
关卡已经解锁了.","Kein Glück!"
"Level.Unlock.Existing.Text2","Collect more coins to try again.","Samle mer penger for å prøve igjen. ","Colete mais moedas para tentar novamente.","Recoger las monedas más para intentarlo de nuevo.","Collectez plus de pièce pour pour rejouer à nouveau.","搜集更多金币来重试.","Sammel mehr Münzen um es nochmal zu versuchen."
"World.Buy.Title","BUY","KJØP","COMPRAR","COMPRAR","ACHETEZ","购买","KAUFEN"
"World.Buy.Text1","Purchase this world?","Vil du kjøpe denne verden? ","Comprar mundo?","Compra mundo?","Acheter ce monde ?","购买这个世界?","Willst du diese Welt kaufen?"
"World.Buy.Text2","You can also collect coins to unlock","Du kan også samle mynter for å låse opp","Você pode coletar moedas para desbloquear","Puede recoger las monedas para desbloquear","Vous pouvez collecter des pièces pour déverrouiller","你也可以搜集更多金币来解锁","Du kannst auch Münzen sammeln um freizuschalten"
"World.Buy.NotEnabled","Collect coins to unlock this world","Få flere mynter for å låse opp denne verden","Colete moedas para desbloquear este mundo","Recoger las monedas para desbloquear este mundo","Collectez des pièces pour déverrouiller ce monde.","搜集金币来解锁这个世界","Sammel Münzen um diese Welt freizuschalten."
"World.Unlock","Unlock","Lås opp","Desbloquear","descubrir","Déverrouillez.","解锁","Freischalten"
"World.Unlock.Title","UNLOCK WORLD","Lås opp verden. ","DESBLOQUEAR MUNDO","DESBLOQUEAR EL MUNDO","Déverrouillez les mondes","解锁世界","WELT FREISCHALTEN"
"World.Unlock.New.Text1","Congratulations!
New world Unlocked","Gratulerer!
Ny verden låst opp. ","Parabéns!
Novo mundo desbloqueado","¡Felicitaciones! 
Nueva fase de desbloqueo ","Félicitations ! 
Un nouveau monde est débloqué.","恭喜!
新世界已经被解锁","Glückwunsch!"
"World.Unlock.New.Text2","Collect more coins to unlock others.","Samle mer penger for å låse opp andre.","Colete mais moedas para desbloquear","Recoger las monedas más para desbloquear","Collectez plus de pièces pour en débloquer d'autres.","搜集更多金币来解锁其他的世界.","Sammel mehr Münzen um die anderen freizuschalten."
"World.Unlock.Existing.Text1","Bad Luck!
World Already Unlocked.","Uflaks!
Verden er allerede låst opp. ","Deu Azar!
Fase já esta desbloqueada.","Él Azar! 
Fase ya está desbloqueado","Pas de chance. 
Ce monde est déjà débloqué.","运气不好!
世界已经解锁了.","Kein Glück!"
"World.Unlock.Existing.Text2","Collect more coins to try again.","Samle mer penger for å prøve igjen. ","Colete mais moedas para tentar novamente.","Recoger las monedas más para intentarlo de nuevo.","Collectez plus de pièces pour jouer à nouveau.","搜集更多金币来重试.","Sammel mehr Münzen um es nochmal zu versuchen."
"Character.Buy.Title","BUY","KJØP","COMPRAR","COMPRAR","ACHETEZ","购买","KAUFEN"
"Character.Buy.Text1","Purchase this character?","Vil du kjøpe denne karakteren? ","Comprar este personagem?","Comprar este personaje?","Achetez ce personnage ?","购买此角色?","Willst du diesen Charakter kaufen?"
"Character.Buy.Text2","You can also collect coins to unlock","Du kan også samle mynter for å låse opp","Você pode coletar moedas para desbloquear","Puede recoger las monedas para desbloquear","Vous pouvez collecter des pièces pour déverrouiller","你也可以搜集更多金币来解锁","Du kannst auch Münzen sammeln um freizuschalten"
"Character.Buy.NotEnabled","Collect coins to unlock this character","Få flere mynter for å låse opp denne karakteren","Colete moedas para desbloquear este personagem.","Recoger las monedas para desbloquear este personaje.","Collectez des pièces pour déverrouiller ce personnage.","搜集金币来解锁这个角色","Sammel Münzen um den Character freizuschalten."
"Character.Unlock","Unlock","Lås opp","Desbloquear","descubrir","Débloquez","解锁","Freischalten"
"Character.Unlock.Title","UNLOCK CHARACTER","Lås opp karakteren. ","DESBLOQUEAR PERSONAGEM","CARÁCTER DE DESBLOQUEO","DEBLOQUEZ LES PERSONNAGES","解锁角色","CHARACTER freigeschaltet!"
"Character.Unlock.New.Text1","Congratulations!
New character Unlocked","Gratulerer!
Ny karakter låst opp. ","Parabéns!
Novo personagem desbloqueado","¡Felicitaciones! 
Nuevo personaje desbloqueado","Félicitations ! 
Un nouveau personnage est débloqué","恭喜!
新角色已经被解锁","Glückwunsch!"
"Character.Unlock.New.Text2","Collect more coins to unlock others.","Samle mer penger for å låse opp andre.","Colete mais moedas para desbloquear","Recoger las monedas más para desbloquear","Collectez plus de pièces pour en débloquer d'autres.","搜集更多金币来解锁其他的角色.","Sammel mehr Münzen um die anderen freizuschalten."
"Character.Unlock.Existing.Text1","Bad Luck!
Character Already Unlocked.","Uflaks!
Karakteren er allerede låst opp. ","Deu Azar!
Personagem já desbloqueado","Él Azar! 
Personaje ya desbloqueado","Pas de chance.
Ce personnage est déjà débloqué.","运气不好!
世界已经解锁了.","Kein Glück!"
"Character.Unlock.Existing.Text2","Collect more coins to try again.","Samle mer penger for å prøve igjen. ","Colete mais moedas para tentar novamente.","Recoger las monedas más para intentarlo de nuevo.","Collectez plus de pièces pour jouer à nouveau.","搜集更多金币来重试.","Sammel mehr Münzen um es nochmal zu versuchen."